provincia_id,provincia_nombre,localidad_nombre,juzgado_nombre,juzgado_numero,juzgado_tipo,causa_id,causa_objeto_litigio_descripcion,causa_fecha_recepcion,causa_fecha_ingreso,audiencia_preliminar_fecha,audiencia_preliminar_resultado,apertura_prueba_fecha,audiencia_vista_causa_fecha,audiencia_vista_causa_resultado,llamamiento_autos_fecha,proceso_finalizacion_fecha,proceso_resultado_descripcion,clase_proceso_descripcion
82,Santa Fe,ROSARIO,Juzg. 1ra. Inst. Civil y Comercial 6ta. Nom.,6,Distrito,21-02849322-0,COBRO DE PESOS,2015-12-09 00:00:00,2015-12-10 00:00:00,,RESULTADO AUD. PROV. PRUEBAS - CONCILIÓ EN AUDIENCIA,2018-06-18 00:00:00,,,,2018-08-17 00:00:00,SENTENCIAS Y AUTOS HOMOLOGATORIOS,
82,Santa Fe,ROSARIO,Juzg. 1ra. Inst. Civil y Comercial 6ta. Nom.,6,Distrito,21-02859384-5,PRESCRIPCIÓN ADQUISITIVA,2016-05-31 00:00:00,2016-06-01 00:00:00,,,,,,,,,
82,Santa Fe,ROSARIO,Juzg. 1ra. Inst. Civil y Comercial 6ta. Nom.,6,Distrito,21-02869512-5,ESCRITURACION,2016-11-10 00:00:00,2016-11-11 00:00:00,,,,,,,,,
82,Santa Fe,ROSARIO,JUZG. DE 1RA.INSTANCIA DE CIRCUITO N°3,3,Circuito,21-12326244-9,DAÑOS Y PERJUICIOS,2016-11-25 00:00:00,2016-11-29 00:00:00,,RESULTADO AUD. PROV. PRUEBAS - NO CONCILIÓ,,2018-08-16 00:00:00,RESULTADO AUD. PROD. PRUEBAS - NO CONCILIÓ,,2019-05-02 00:00:00,SENTENCIA Y AUTOS DEFINITIVOS,
82,Santa Fe,ROSARIO,JUZG. DE 1RA.INSTANCIA DE CIRCUITO N°4,4,Circuito,21-00143217-3,DAÑOS Y PERJUICIOS,2016-12-22 00:00:00,2016-12-26 00:00:00,2018-08-08 00:00:00,RESULTADO AUD. PROV. PRUEBAS - NO CONCILIÓ,2018-06-18 00:00:00,2018-10-25 00:00:00,RESULTADO AUD. PROD. PRUEBAS - NO CONCILIÓ,,,,
82,Santa Fe,ROSARIO,Juzg. 1ra. Inst. Civil y Comercial 15ta. Nom.,15,Distrito,21-02874204-2,COBRO DE PESOS,2016-12-29 00:00:00,2017-02-01 00:00:00,,,,,,,,,
82,Santa Fe,ROSARIO,Juzg. 1ra. Inst. Civil y Comercial 6ta. Nom.,6,Distrito,21-02875510-1,DAÑOS Y PERJUICIOS,2017-02-10 00:00:00,2017-02-13 00:00:00,2019-02-26 00:00:00,RESULTADO AUD. PROV. PRUEBAS - NO CONCILIÓ,2018-11-14 00:00:00,2019-05-16 00:00:00,RESULTADO AUD. PROD. PRUEBAS - NO CONCILIÓ,,,,
82,Santa Fe,ROSARIO,JUZG. DE 1RA.INSTANCIA DE CIRCUITO N°4,4,Circuito,21-12610145-4,DAÑOS Y PERJUICIOS,2017-03-09 00:00:00,2017-03-10 00:00:00,2018-08-15 00:00:00,RESULTADO AUD. PROV. PRUEBAS - NO SE CELEBRÓ,2018-06-18 00:00:00,2018-11-01 00:00:00,,,2018-10-18 00:00:00,SENTENCIAS Y AUTOS HOMOLOGATORIOS,
82,Santa Fe,ROSARIO,Juzg. 1ra. Inst. Civil y Comercial 6ta. Nom.,6,Distrito,21-02877592-7,CONSIGNACION JUDICIAL,2017-03-15 00:00:00,2017-06-28 00:00:00,,,,,,,,,
82,Santa Fe,ROSARIO,JUZG. DE 1RA.INSTANCIA DE CIRCUITO N°2,2,Circuito,21-12613757-2,DAÑOS Y PERJUICIOS,2017-09-21 00:00:00,2017-09-22 00:00:00,2018-07-24 00:00:00,RESULTADO AUD. PROV. PRUEBAS - NO CONCILIÓ,2018-06-18 00:00:00,2018-10-24 00:00:00,,,,,
