provincia_id,provincia_nombre,localidad_nombre,juzgado_numero,causa_id,causa_objeto_litigio_descripcion,causa_fecha_recepcion,causa_fecha_ingreso,audiencia_preliminar_fecha,audiencia_preliminar_resultado,apertura_prueba_fecha,audiencia_vista_causa_fecha,audiencia_vista_causa_resultado,llamamiento_autos_fecha,proceso_finalización_fecha,proceso_resultado_descripcion,clase_proceso_descripcion
22,Chaco,Resistencia,Resistencia - 2,6040/19,PRESCRIPCIÓN: ADQUISITIVA / LIBERATORIA / USUCAPIÓN,2019-05-20,2019-05-20,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,6254/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-05-23,2019-05-23,2019-09-10,no concilió,2019-09-10,2019-12-05,,,,,
22,Chaco,Resistencia,Resistencia - 2,6462/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-05-28,2019-05-28,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,6668/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-05-30,2019-05-30,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,6771/19,DAÑOS Y PERJUICIOS,2019-05-31,2019-05-31,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,6783/19,JUICIO SUMARÍSIMO,2019-05-31,2019-05-31,2019-10-08,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,6965/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-06-05,2019-06-05,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,7024/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-06-06,2019-06-06,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,7136/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-06-07,2019-06-07,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,7195/19,EXPROPIACIÓN,2019-06-10,2019-06-10,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,7252/19,INTERDICTOS,2019-06-11,2019-06-11,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,7256/19,DESALOJO,2019-06-11,2019-06-11,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,7300/19,DESALOJO,2019-06-12,2019-06-12,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,7347/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-06-13,2019-06-13,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,7497/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-06-14,2019-06-14,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,7724/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-06-21,2019-06-21,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,7867/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-06-25,2019-06-25,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,7926/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-06-27,2019-06-27,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,8663/19,PRESCRIPCIÓN: ADQUISITIVA / LIBERATORIA / USUCAPIÓN,2019-07-12,2019-07-12,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,9131/19,DAÑOS Y PERJUICIOS,2019-07-31,2019-07-31,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,8901/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-07-29,2019-07-29,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,9171/19,COBRO SUMARIO DE PESOS,2019-07-31,2019-07-31,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,8986/19,DAÑOS Y PERJUICIOS,2019-07-30,2019-07-30,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,9269/19,COBRO SUMARIO DE PESOS,2019-08-01,2019-08-01,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,8343/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-07-04,2019-07-04,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,8167/19,JUICIO SUMARÍSIMO,2019-07-01,2019-07-01,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,8495/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-07-10,2019-07-10,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,8228/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-07-03,2019-07-03,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,7482/19,JUICIO SUMARIO,2019-07-31,2019-07-31,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,8569/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-07-11,2019-07-11,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,8503/19,PRESCRIPCIÓN: ADQUISITIVA / LIBERATORIA / USUCAPIÓN,2019-07-10,2019-07-10,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,7715/19,REPETICIÓN DE PAGO,2019-06-21,2019-08-01,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,9370/19,JUICIO SUMARÍSIMO,2019-08-01,2019-08-01,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,9403/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-08-01,2019-08-01,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,9611/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-08-05,2019-08-05,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,9748/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-08-07,2019-08-07,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,9757/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-08-07,2019-08-07,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,9890/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-08-09,2019-08-09,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,10061/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-08-12,2019-08-12,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,10074/19,JUICIO SUMARÍSIMO,2019-08-12,2019-08-12,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,10237/19,ACCIÓN DE REIVINDICACIÓN,2019-08-14,2019-08-14,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,10316/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-08-15,2019-08-15,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,10384/19,JUICIO SUMARIO,2019-08-16,2019-08-16,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,6535/19,DAÑOS Y PERJUICIOS POR MALA PRAXIS,2019-05-28,2019-08-22,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,10694/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-08-26,2019-08-26,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,10827/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-08-28,2019-08-28,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,11067/19,DESALOJO,2019-09-02,2019-09-02,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,11068/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-09-02,2019-09-02,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,501/19,DESALOJO,2019-02-06,2019-09-05,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,11470/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-09-10,2019-09-10,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,11546/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-09-11,2019-09-11,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 2,919/19,JUICIO SUMARIO,2019-02-11,2019-02-11,2019-10-29,,,,,,,,
22,Chaco,Resistencia,Resistencia - 3,47/19,DESALOJO,2019-02-04,2019-02-04,,,,,,,2019-07-01,,
22,Chaco,Resistencia,Resistencia - 3,53/19,DAÑOS Y PERJUICIOS,2019-02-04,2019-02-04,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 3,55/19,ACCIÓN DE REIVINDICACIÓN,2019-02-01,2019-02-13,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 3,254/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-02-06,2019-02-06,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 3,504/19,DAÑOS Y PERJUICIOS,2019-02-08,2019-02-08,2019-09-26,no concilió,2019-09-26,,,,,,
22,Chaco,Resistencia,Resistencia - 3,632/19,COBRO SUMARIO DE PESOS,2019-02-12,2019-02-12,2019-08-14,no concilió,2019-09-11,2020-02-19,,,,,
22,Chaco,Resistencia,Resistencia - 3,732/19,DESALOJO,2019-02-08,2019-02-08,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 3,733/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-02-12,2019-02-12,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 3,751/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-02-13,2019-02-13,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 3,1129/19,DAÑOS Y PERJUICIOS,2019-02-18,2019-02-18,2019-08-21,concilió en audiencia,,,,,2019-08-21,HOMOLOGACIÓN,
22,Chaco,Resistencia,Resistencia - 3,1254/19,ESCRITURACIÓN,2019-02-19,2019-02-19,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 3,1286/19,DAÑOS Y PERJUICIOS,2019-02-20,2019-02-20,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 3,1287/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-02-20,2019-02-20,2019-09-10,no concilió,,,,,,,
22,Chaco,Resistencia,Resistencia - 3,1449/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-02-25,2019-02-25,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 3,1462/19,DESALOJO,2019-02-25,2019-02-25,,,,,,,2019-09-03,SENTENCIA DEFINITIVA,
22,Chaco,Resistencia,Resistencia - 3,1493/19,COBRO SUMARIO DE PESOS,2019-02-25,2019-02-25,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 3,1590/19,PRESCRIPCIÓN: ADQUISITIVA / LIBERATORIA / USUCAPIÓN,2019-02-28,2019-02-28,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 3,1612/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-02-28,2019-02-28,2019-10-08,,,,,,,,
22,Chaco,Resistencia,Resistencia - 3,1656/19,JUICIO SUMARÍSIMO,2019-03-07,2019-03-07,2019-06-19,no concilió,,,,,,,
22,Chaco,Resistencia,Resistencia - 3,1701/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-03-12,2019-03-12,2019-10-16,,,,,,,,
22,Chaco,Resistencia,Resistencia - 3,2158/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-03-18,2019-03-18,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 3,2380/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-03-19,2019-03-19,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 3,2535/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-03-20,2019-03-20,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 3,2599/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-03-20,2019-03-20,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 3,2802/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-03-26,2019-03-26,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 3,2894/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-03-26,2019-03-26,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 3,3137/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-04-01,2019-04-01,2019-10-09,,,,,,,,
22,Chaco,Resistencia,Resistencia - 3,3278/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-04-01,2019-04-01,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 3,3409/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-04-03,2019-04-03,2019-10-10,,,,,,,,
22,Chaco,Resistencia,Resistencia - 3,3546/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-04-08,2019-04-08,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 3,3559/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-04-08,2019-04-08,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 3,3620/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-04-08,2019-04-08,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 3,3829/19,ESCRITURACIÓN,2019-04-09,2019-04-09,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 3,3948/19,JUICIO SUMARÍSIMO,2019-04-09,2019-04-09,2019-06-07,no concilió,2019-06-07,,,,,,
22,Chaco,Resistencia,Resistencia - 3,4065/19,DAÑOS Y PERJUICIOS POR MALA PRAXIS,2019-04-12,2019-04-12,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 3,4263/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-04-17,2019-04-17,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 3,4413/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-04-22,2019-04-22,2019-09-26,no concilió,2019-09-26,2020-03-18,,,,,
22,Chaco,Resistencia,Resistencia - 3,4531/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-04-24,2019-04-24,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 3,4637/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-04-26,2019-04-26,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 3,4801/19,CONSIGNACIÓN,2019-04-29,2019-04-29,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 3,5018/19,ACCIÓN DE REIVINDICACIÓN,2019-05-03,2019-05-03,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 3,5036/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-05-03,2019-05-03,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 3,5090/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-05-07,2019-05-07,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 3,5199/19,ESCRITURACIÓN,2019-05-07,2019-05-07,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 3,5313/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-05-08,2019-05-08,2019-10-15,,,,,,,,
22,Chaco,Resistencia,Resistencia - 3,5412/19,INTERDICTOS,2019-05-08,2019-05-21,,,,,,,,,
