provincia_id,provincia_nombre,localidad_nombre,juzgado_nombre_y_juzgado_numero,causa_id,causa_objeto_litigio_descripcion,causa_fecha_recepcion,causa_fecha_ingreso,audiencia_preliminar_fecha,audiencia_preliminar_resultado,apertura_prueba_fecha,audiencia_vista_causa_fecha,audiencia_vista_causa_resultado,llamamiento_autos_fecha,proceso_finalización_fecha,proceso_resultado_descripcion
18,Corrientes,Bella Vista,"Civil, Comercial y Laboral -B.Vista",6261/18,REINVINDICACIÓN - ORDINARIO,30/10/2018,30/10/2018,03/09/2019,No conciliada,03/09/2019,10/12/2019,,,,
18,Corrientes,Empedrado,Multifuero - Empedrado,15800/15,PRESCRIPCIÓN ADQUISITIVA,06/02/2015,06/02/2015,06/09/2019,No conciliada,06/09/2019,12/12/2019,,,,
18,Corrientes,Empedrado,Multifuero - Empedrado,16344/15,PRESCRIPCIÓN ADQUISITIVA,03/07/2015,03/07/2015,06/09/2019,No conciliada,06/09/2019,04/12/2019,,,,
18,Corrientes,Empedrado,Multifuero - Empedrado,16674/16,PRESCRIPCIÓN ADQUISITIVA - ORDINARIO,23/03/2016,23/03/2016,03/09/2019,No conciliada,03/09/2019,28/11/2019,,,,
18,Corrientes,Empedrado,Multifuero - Empedrado,16775/16,PRESCRIPCIÓN ADQUISITIVA,04/05/2016,04/05/2016,03/09/2019,No conciliada,03/09/2019,21/11/2019,,,,
18,Corrientes,Empedrado,Multifuero - Empedrado,18559/18,PRESCRIPCIÓN ADQUISITIVA,15/08/2018,15/08/2018,20/09/2019,No conciliada,20/09/2019,11/02/2020,,,,
18,Corrientes,Empedrado,Multifuero - Empedrado,18604/18,PRESCRIPCIÓN ADQUISITIVA,19/09/2018,19/08/2018,10/09/2019,No conciliada,10/09/2019,05/02/2020,,,,
18,Corrientes,Santa Rosa,Multifuero - Santa Rosa,152902/17,DAÑOS Y PERJUICIOS,23/06/2017,23/06/2017,23/08/2019,Concilió,,,,,23/08/2019,HOMOLOGATORIA
18,Corrientes,Santa Rosa,Multifuero - Santa Rosa,7480/19,REDARGUSIÓN DE FALSEDAD,12/03/2019,12/03/2019,16/09/2019,No conciliada,16/09/2019,14/11/2019,,,,
18,Corrientes,Goya,civil y comercial 1 Goya,35176/18,DAÑOS Y PERJUICIOS,14/12/2018,14/12/2018,18/09/2019,No conciliada,18/09/2019,21/11/2019,,,,
